Дата;Отрасль;Значение
31.10.2017;Здравоохранение;20952.00
31.10.2017;ИТ и связь;29953.00
31.10.2017;Научная и проф. деятельность;33388.00
31.10.2017;Обрабатывающие производства;26688.00
31.10.2017;Образование;20821.00
31.10.2017;Операции с недвижимостью;20680.00
31.10.2017;Сельское хозяйство;21735.00
31.10.2017;Спорт и досуг;20445.00
31.10.2017;Строительство;29066.00
31.10.2017;Торговля;22280.00
31.10.2017;Транспортировка и хранение;29117.00
31.10.2017;Услуги ЖКХ;27245.00
31.10.2017;Финансы и страхование;41918.00
30.11.2017;Административная деятельность;18369.00
30.11.2017;Водоснабжение;21221.00
30.11.2017;Гос. управление;33190.00
30.11.2017;Гостиницы и общепит;18108.00
30.11.2017;Добыча полезных ископаемых;35775.00
30.11.2017;Здравоохранение;21765.00
30.11.2017;ИТ и связь;30786.00
30.11.2017;Научная и проф. деятельность;35080.00
30.11.2017;Обрабатывающие производства;26793.00
30.11.2017;Образование;21579.00
30.11.2017;Операции с недвижимостью;20998.00
30.11.2017;Сельское хозяйство;21252.00
30.11.2017;Спорт и досуг;21759.00
30.11.2017;Строительство;29281.00
30.11.2017;Торговля;21969.00
30.11.2017;Транспортировка и хранение;29111.00
30.11.2017;Услуги ЖКХ;27954.00
30.11.2017;Финансы и страхование;36914.00
31.12.2017;Административная деятельность;19543.00
31.12.2017;Водоснабжение;21935.00
31.12.2017;Гос. управление;42160.00
31.12.2017;Гостиницы и общепит;18571.00
31.12.2017;Добыча полезных ископаемых;40916.00
31.12.2017;Здравоохранение;23122.00
31.12.2017;ИТ и связь;31759.00
31.12.2017;Научная и проф. деятельность;40286.00
31.12.2017;Обрабатывающие производства;28145.00
31.12.2017;Образование;22617.00
31.12.2017;Операции с недвижимостью;21750.00
31.12.2017;Сельское хозяйство;21750.00
31.12.2017;Спорт и досуг;25708.00
31.12.2017;Строительство;29477.00
31.12.2017;Торговля;22772.00
31.12.2017;Транспортировка и хранение;30450.00
31.12.2017;Услуги ЖКХ;31908.00
31.12.2017;Финансы и страхование;74082.00
31.01.2018;Административная деятельность;20880.00
31.01.2018;Водоснабжение;23135.00
31.01.2018;Гос. управление;29201.00
31.01.2018;Гостиницы и общепит;20410.00
31.01.2018;Добыча полезных ископаемых;38869.00
31.01.2018;Здравоохранение;24972.00
31.01.2018;ИТ и связь;31764.00
31.01.2018;Научная и проф. деятельность;35381.00
31.01.2018;Обрабатывающие производства;27646.00
31.01.2018;Образование;22410.00
31.01.2018;Операции с недвижимостью;22000.00
31.01.2018;Сельское хозяйство;22397.00
31.01.2018;Спорт и досуг;23329.00
31.01.2018;Строительство;28513.00
31.01.2018;Торговля;24340.00
31.01.2018;Транспортировка и хранение;31320.00
31.01.2018;Услуги ЖКХ;29430.00
31.01.2018;Финансы и страхование;35313.00
28.02.2018;Административная деятельность;19702.00
28.02.2018;Водоснабжение;21801.00
28.02.2018;Гос. управление;30000.00
28.02.2018;Гостиницы и общепит;19140.00
28.02.2018;Добыча полезных ископаемых;36731.00
28.02.2018;Здравоохранение;24809.00
28.02.2018;ИТ и связь;33916.00
28.02.2018;Научная и проф. деятельность;35229.00
28.02.2018;Обрабатывающие производства;26681.00
28.02.2018;Образование;22639.00
